Country,Item,Year,Value
Afghanistan,Mean BMI,1978,19.2941496345
Albania,Mean BMI,1978,24.0553762756
Algeria,Mean BMI,1978,22.2009007663
American Samoa,Mean BMI,1978,31.2794144446
Andorra,Mean BMI,1978,25.7745649809
Angola,Mean BMI,1978,19.1636444178
Antigua and Barbuda,Mean BMI,1978,23.1021660936
Argentina,Mean BMI,1978,24.4548489608
Armenia,Mean BMI,1978,24.4763806954
Australia,Mean BMI,1978,24.2195243903
Austria,Mean BMI,1978,24.2341508499
Azerbaijan,Mean BMI,1978,23.9817228428
Bahamas,Mean BMI,1978,24.8284968746
Bahrain,Mean BMI,1978,25.3137365018
Bangladesh,Mean BMI,1978,17.7630749762
Barbados,Mean BMI,1978,25.2383048704
Belarus,Mean BMI,1978,24.3019924126
Belgium,Mean BMI,1978,25.0644800639
Belize,Mean BMI,1978,25.3638938768
Benin,Mean BMI,1978,19.2629855095
Bermuda,Mean BMI,1978,26.2640663622
Bhutan,Mean BMI,1978,19.3827295437
Bolivia,Mean BMI,1978,22.085102617
Bosnia and Herzegovina,Mean BMI,1978,23.7267550833
Botswana,Mean BMI,1978,20.8083499816
Brazil,Mean BMI,1978,23.0140261856
Brunei Darussalam,Mean BMI,1978,23.34804784
Bulgaria,Mean BMI,1978,24.4514035912
Burkina Faso,Mean BMI,1978,18.8589881348
Burundi,Mean BMI,1978,18.498554776
Cabo Verde,Mean BMI,1978,20.2189815623
Cambodia,Mean BMI,1978,18.5614011948
Cameroon,Mean BMI,1978,20.3565636753
Canada,Mean BMI,1978,24.5510962423
Central African Republic,Mean BMI,1978,19.4083197498
Chad,Mean BMI,1978,18.8616682092
Chile,Mean BMI,1978,25.1605461371
China,Mean BMI,1978,21.2366687489
China (Hong Kong SAR),Mean BMI,1978,22.2955199824
Colombia,Mean BMI,1978,22.4768510912
Comoros,Mean BMI,1978,19.996565939
Congo,Mean BMI,1978,19.9060342868
Cook Islands,Mean BMI,1978,28.9329902296
Costa Rica,Mean BMI,1978,22.9584156398
Croatia,Mean BMI,1978,24.0004356436
Cuba,Mean BMI,1978,22.980421518
Cyprus,Mean BMI,1978,24.2008281287
Czech Republic,Mean BMI,1978,26.4111030207
Denmark,Mean BMI,1978,23.8909864142
Djibouti,Mean BMI,1978,22.0287651998
Dominica,Mean BMI,1978,23.0652922345
Dominican Republic,Mean BMI,1978,22.5533443664
DR Congo,Mean BMI,1978,18.732191453
Ecuador,Mean BMI,1978,22.7534132243
Egypt,Mean BMI,1978,25.0549655542
El Salvador,Mean BMI,1978,23.0562082684
Equatorial Guinea,Mean BMI,1978,20.225590147
Eritrea,Mean BMI,1978,18.4018441005
Estonia,Mean BMI,1978,24.5757126284
Ethiopia,Mean BMI,1978,17.9884506892
Fiji,Mean BMI,1978,23.7370308826
Finland,Mean BMI,1978,24.6058904315
France,Mean BMI,1978,24.5048219377
French Polynesia,Mean BMI,1978,27.5610660228
Gabon,Mean BMI,1978,20.5196753177
Gambia,Mean BMI,1978,18.9216362688
Georgia,Mean BMI,1978,23.9477842717
Germany,Mean BMI,1978,24.6193323136
Ghana,Mean BMI,1978,20.1116355738
Greece,Mean BMI,1978,25.5789699896
Greenland,Mean BMI,1978,24.4621861525
Grenada,Mean BMI,1978,23.1273143086
Guatemala,Mean BMI,1978,22.2508648953
Guinea,Mean BMI,1978,19.4995566352
Guinea Bissau,Mean BMI,1978,19.4260513397
Guyana,Mean BMI,1978,22.6527485763
Haiti,Mean BMI,1978,20.8446611029
Honduras,Mean BMI,1978,21.6046909104
Hungary,Mean BMI,1978,24.9225950384
Iceland,Mean BMI,1978,24.0952332394
India,Mean BMI,1978,18.8638706994
Indonesia,Mean BMI,1978,19.5909821786
Iran,Mean BMI,1978,22.9013068322
Iraq,Mean BMI,1978,24.8870957135
Ireland,Mean BMI,1978,24.0635377155
Israel,Mean BMI,1978,24.6574689426
Italy,Mean BMI,1978,24.6132151957
Ivory Coast,Mean BMI,1978,20.5044859219
Jamaica,Mean BMI,1978,22.8905073697
Japan,Mean BMI,1978,22.1816940906
Jordan,Mean BMI,1978,25.6484891109
Kazakhstan,Mean BMI,1978,24.4109623357
Kenya,Mean BMI,1978,19.6150873425
