,Country,Item,Value,medianValues,Mean.BMI,Total.population
1,Afghanistan,Meat,12.33,11.320754717,23.1395560487,34499915
2,Afghanistan,Starchy Roots,7.53,0.6289308176,23.1395560487,34499915
3,Afghanistan,Fruits - Excluding Wine,34.05,10.0628930818,23.1395560487,34499915
4,Afghanistan,Cereals - Excluding Beer,179.87,86.7924528302,23.1395560487,34499915
5,Afghanistan,Alcoholic Beverages,0.1,4.4303797468,23.1395560487,34499915
6,Afghanistan,Tea (including mate),3.49,97.4683544304,23.1395560487,34499915
7,Afghanistan,Pulses,2.44,31.6455696203,23.1395560487,34499915
8,Afghanistan,Eggs,1.3,16.3522012579,23.1395560487,34499915
9,Afghanistan,Animal fats,2.27,49.6855345912,23.1395560487,34499915
10,Afghanistan,"Fish, Seafood",0.07,0.6289308176,23.1395560487,34499915
11,Afghanistan,Milk - Excluding Butter,62.23,39.6226415094,23.1395560487,34499915
12,Afghanistan,Sugar & Sweeteners,8.95,10.6918238994,23.1395560487,34499915
13,Afghanistan,Vegetables,28.97,14.465408805,23.1395560487,34499915
14,Afghanistan,Coffee and products,0,3.7735849057,23.1395560487,34499915
15,Albania,Eggs,12.45,81.1320754717,26.5501893232,3238316
16,Albania,Meat,61.96,65.4088050314,26.5501893232,3238316
17,Albania,Tea (including mate),0.08,19.6202531646,26.5501893232,3238316
18,Albania,Fruits - Excluding Wine,142,98.1132075472,26.5501893232,3238316
19,Albania,Starchy Roots,41.6,35.8490566038,26.5501893232,3238316
20,Albania,Pulses,5.39,54.4303797468,26.5501893232,3238316
21,Albania,"Fish, Seafood",4.87,22.0125786164,26.5501893232,3238316
22,Albania,Coffee and products,2.48,62.2641509434,26.5501893232,3238316
23,Albania,Milk - Excluding Butter,303.72,96.8553459119,26.5501893232,3238316
24,Albania,Animal fats,2.54,52.8301886792,26.5501893232,3238316
25,Albania,Vegetables,245.09,96.8553459119,26.5501893232,3238316
26,Albania,Sugar & Sweeteners,47.64,84.9056603774,26.5501893232,3238316
27,Albania,Cereals - Excluding Beer,149.26,67.2955974843,26.5501893232,3238316
28,Albania,Alcoholic Beverages,37.6,51.2658227848,26.5501893232,3238316
