Country,Item,Year,Value
Bulgaria,Consumer food price indice,2017,5682.4455749527
Bulgaria,Consumer food price indice,2013,5590.4371182082
Bulgaria,Consumer food price indice,2014,5492.49046896
Bulgaria,Consumer food price indice,2016,5464.2073811363
Bulgaria,Consumer food price indice,2015,5435.650478
Bulgaria,Consumer food price indice,2012,5226.9832365207
Bulgaria,Consumer food price indice,2011,5070.2779633595
Bulgaria,Consumer food price indice,2009,5064.5365137118
Bulgaria,Consumer food price indice,2010,4846.9448010442
Bulgaria,Consumer food price indice,2008,4787.6557576107
Bulgaria,Consumer food price indice,2007,3960.7363822453
Bulgaria,Consumer food price indice,2006,3725.6102762421
Bulgaria,Consumer food price indice,2005,3497.2762036867
Bulgaria,Consumer food price indice,2004,3473.8119863529
Bulgaria,Consumer food price indice,2002,3401.5837914117
Bulgaria,Consumer food price indice,2001,3240.2067793952
Bulgaria,Consumer food price indice,2003,3174.632656129
Bulgaria,Consumer food price indice,2000,2936.6012783047
Sao Tome and Principe,Consumer food price indice,2015,2268.1478806107
Sao Tome and Principe,Consumer food price indice,2014,2144.8112981064
Guinea,Consumer food price indice,2017,1359.2
Guinea,Consumer food price indice,2016,1209
Guinea,Consumer food price indice,2015,1103.6
Guinea,Consumer food price indice,2014,1013.3900575699
Guinea,Consumer food price indice,2013,913.7653213396
Guinea,Consumer food price indice,2012,805.1897248824
Venezuela,Consumer food price indice,2015,747.6
Syrian Arab Republic,Consumer food price indice,2016,702.2
Guinea,Consumer food price indice,2011,668.347209798
Solomon Islands,Consumer food price indice,2016,564
Trinidad and Tobago,Consumer food price indice,2014,549.5
Central African Republic,Starchy Roots,1973,545.03
Solomon Islands,Consumer food price indice,2015,544.8
Solomon Islands,Consumer food price indice,2013,538.2
Trinidad and Tobago,Consumer food price indice,2013,532.4
Solomon Islands,Consumer food price indice,2014,527.4
Guinea,Consumer food price indice,2010,525.9856714642
Solomon Islands,Consumer food price indice,2012,515
Solomon Islands,Consumer food price indice,2010,502.6309444746
Central African Republic,Starchy Roots,1978,498.69
Solomon Islands,Starchy Roots,1963,494.76
Solomon Islands,Consumer food price indice,2009,493.575100341
Solomon Islands,Consumer food price indice,2011,493.1733537554
Central African Republic,Starchy Roots,1963,473.12
Sudan,Consumer food price indice,2015,468.0771937092
Trinidad and Tobago,Consumer food price indice,2012,467.8
Solomon Islands,Starchy Roots,1968,463.92
Democratic Republic of the Congo,Starchy Roots,1963,463.06
Rwanda,Fruits - Excluding Wine,1968,459.52
Central African Republic,Starchy Roots,1968,456.35
South Sudan,Consumer food price indice,2016,439.431
Rwanda,Fruits - Excluding Wine,1973,433.63
Finland,Milk - Excluding Butter,2013,430.76
Syrian Arab Republic,Consumer food price indice,2015,427.5
Rwanda,Fruits - Excluding Wine,1983,424.1
Trinidad and Tobago,Consumer food price indice,2015,418.727
Solomon Islands,Starchy Roots,1973,417.94
Ghana,Starchy Roots,1998,417.36
Ghana,Starchy Roots,2003,417.15
Ghana,Starchy Roots,2013,414.47
Trinidad and Tobago,Consumer food price indice,2011,410.5
Democratic Republic of the Congo,Starchy Roots,1968,408.46
Rwanda,Fruits - Excluding Wine,1978,406.67
Ghana,Starchy Roots,2008,405.9
Madagascar,Consumer food price indice,2017,398.0404
Solomon Islands,Consumer food price indice,2008,389.579999733
Netherlands,Milk - Excluding Butter,1983,387.28
Iceland,Milk - Excluding Butter,1963,386.98
Finland,Milk - Excluding Butter,2008,384.45
Sweden,Milk - Excluding Butter,2003,380.29
Iceland,Milk - Excluding Butter,1973,379.62
Iceland,Milk - Excluding Butter,1968,378.53
Solomon Islands,Starchy Roots,1978,378.53
Netherlands,Milk - Excluding Butter,1978,378.25
Rwanda,Fruits - Excluding Wine,1998,377.81
Madagascar,Consumer food price indice,2016,377.7896
Democratic Republic of the Congo,Starchy Roots,1973,377.27
Sweden,Milk - Excluding Butter,1993,369.36
Finland,Milk - Excluding Butter,1998,368.58
Central African Republic,Starchy Roots,1983,367.71
Netherlands,Milk - Excluding Butter,1973,365.12
Syrian Arab Republic,Consumer food price indice,2014,364.5
Sweden,Milk - Excluding Butter,1983,364.01
Sweden,Milk - Excluding Butter,2008,361.72
Ireland,Milk - Excluding Butter,1978,360.89
Solomon Islands,Starchy Roots,1983,356.9
Democratic Republic of the Congo,Starchy Roots,1978,356.76
Finland,Milk - Excluding Butter,2003,356.29
Sweden,Milk - Excluding Butter,1978,356.21
Netherlands,Milk - Excluding Butter,1988,355.91
Montenegro,Milk - Excluding Butter,2008,353.3
China,Vegetables,2013,353.14
Romania,Consumer food price indice,2013,351.15
Madagascar,Consumer food price indice,2015,350.2232
Ghana,Starchy Roots,1968,350
Netherlands,Milk - Excluding Butter,1998,349.76
Ivory Coast,Starchy Roots,1963,349.51
Montenegro,Milk - Excluding Butter,2013,349.21
Solomon Islands,Starchy Roots,2003,349.12
Armenia,Vegetables,2013,348.89
Rwanda,Fruits - Excluding Wine,1988,347.93
Sweden,Milk - Excluding Butter,1988,347.38
Netherlands,Milk - Excluding Butter,2003,345.14
Finland,Milk - Excluding Butter,1963,344.46
Finland,Milk - Excluding Butter,1973,344.19
Sweden,Milk - Excluding Butter,1998,344
Romania,Consumer food price indice,2014,343.49
Solomon Islands,Starchy Roots,2008,343.43
Netherlands,Milk - Excluding Butter,2013,341.47
Finland,Milk - Excluding Butter,1968,341.41
Sweden,Milk - Excluding Butter,2013,341.23
Democratic Republic of the Congo,Starchy Roots,1988,341.21
Ghana,Starchy Roots,1993,341.17
Switzerland,Milk - Excluding Butter,1978,340.24
Iceland,Milk - Excluding Butter,1983,340.2
Turkey,Consumer food price indice,2017,339.7
Finland,Milk - Excluding Butter,1978,339.31
Ireland,Milk - Excluding Butter,2003,338.41
Switzerland,Milk - Excluding Butter,1993,338.13
Solomon Islands,Starchy Roots,1988,338.08
Finland,Milk - Excluding Butter,1988,337.93
Switzerland,Milk - Excluding Butter,1983,334.55
Madagascar,Consumer food price indice,2014,334.0482
Netherlands,Milk - Excluding Butter,2008,333.51
Solomon Islands,Starchy Roots,2013,332.9
Ghana,Starchy Roots,1963,331.14
Ireland,Milk - Excluding Butter,1988,329.74
Togo,Starchy Roots,1963,329.04
Romania,Consumer food price indice,2012,327.59
Iceland,Milk - Excluding Butter,1978,327.21
Romania,Consumer food price indice,2011,327.19
Solomon Islands,Starchy Roots,1998,326.42
Democratic Republic of the Congo,Starchy Roots,1983,326.37
Liberia,Consumer food price indice,2017,326.1224375166
Armenia,Vegetables,2008,325.21
Rwanda,Starchy Roots,2003,324.44
Netherlands,Milk - Excluding Butter,1968,322.98
Switzerland,Milk - Excluding Butter,1988,322.76
Rwanda,Fruits - Excluding Wine,1993,321.32
Malawi,Consumer food price indice,2012,319.9
Solomon Islands,Starchy Roots,1993,319.63
Ivory Coast,Starchy Roots,1968,318.87
Switzerland,Milk - Excluding Butter,2013,318.69
Finland,Milk - Excluding Butter,1983,318.13
Ivory Coast,Starchy Roots,1973,317.86
China,Vegetables,2008,316.92
Ivory Coast,Starchy Roots,2008,316.72
Ivory Coast,Starchy Roots,1978,316.39
Finland,Milk - Excluding Butter,1993,316.15
United Arab Emirates,Vegetables,1993,315.33
Turkey,Consumer food price indice,2016,315.22
Switzerland,Milk - Excluding Butter,2003,314.35
Madagascar,Consumer food price indice,2013,313.9884
Switzerland,Milk - Excluding Butter,1998,313.95
Trinidad and Tobago,Consumer food price indice,2010,313.7
Ireland,Milk - Excluding Butter,1973,313.36
Vanuatu,Starchy Roots,1963,313.2
Rwanda,Fruits - Excluding Wine,2013,312.48
Netherlands,Milk - Excluding Butter,1993,310.9
Togo,Starchy Roots,1968,310.14
United Republic of Tanzania,Starchy Roots,1983,309.17
Switzerland,Milk - Excluding Butter,2008,308.75
Sweden,Milk - Excluding Butter,1973,307.45
Estonia,Milk - Excluding Butter,1993,306.8
Haiti,Consumer food price indice,2017,305.7
Trinidad and Tobago,Consumer food price indice,2009,305.6
Ireland,Milk - Excluding Butter,1968,305.54
United Arab Emirates,Vegetables,1983,305.42
Netherlands,Milk - Excluding Butter,1963,304.89
Madagascar,Consumer food price indice,2012,304.8006
Ivory Coast,Starchy Roots,2003,304.48
Albania,Milk - Excluding Butter,2013,303.72
Switzerland,Milk - Excluding Butter,1963,303.06
Malawi,Consumer food price indice,2011,301.6
Lithuania,Milk - Excluding Butter,2008,301.48
Sweden,Consumer food price indice,2017,300.9
Ivory Coast,Starchy Roots,1998,300.88
Ireland,Milk - Excluding Butter,2008,300.48
Rwanda,Fruits - Excluding Wine,1963,300.37
Ivory Coast,Starchy Roots,2013,300.08
Ghana,Starchy Roots,1973,299.72
Norway,Milk - Excluding Butter,1983,298.86
Ecuador,Fruits - Excluding Wine,1978,296.61
Sweden,Consumer food price indice,2016,295.87
Lithuania,Milk - Excluding Butter,2013,295.46
Rwanda,Starchy Roots,2013,294.95
Ireland,Milk - Excluding Butter,1963,294.82
Jamaica,Consumer food price indice,2017,294.5
Ivory Coast,Starchy Roots,1983,294.23
Switzerland,Milk - Excluding Butter,1973,293.96
Central African Republic,Starchy Roots,1998,293.35
Ghana,Consumer food price indice,2011,293
Malawi,Consumer food price indice,2010,293
Liberia,Consumer food price indice,2016,292.7634126229
Ireland,Milk - Excluding Butter,2013,291.86
Jamaica,Consumer food price indice,2016,291.629640471
Norway,Milk - Excluding Butter,1978,290.85
Lebanon,Vegetables,1993,290.44
Sweden,Consumer food price indice,2015,289.51
Rwanda,Starchy Roots,2008,288.88
Greece,Vegetables,2003,288.3
Ivory Coast,Starchy Roots,1988,288.3
Kazakhstan,Milk - Excluding Butter,2013,288.12
Belize,Fruits - Excluding Wine,2008,287.94
Vanuatu,Starchy Roots,1968,287.85
Malawi,Consumer food price indice,2017,287.3
United Republic of Tanzania,Starchy Roots,1968,286.23
Madagascar,Consumer food price indice,2011,285.7373
Albania,Milk - Excluding Butter,2003,285.68
Albania,Milk - Excluding Butter,2008,285.53
Montserrat,Consumer food price indice,2013,285.41
Sweden,Consumer food price indice,2014,285.32
Estonia,Milk - Excluding Butter,2013,284.85
Afghanistan,Cereals - Excluding Beer,1968,284.63
Sweden,Consumer food price indice,2013,284.4
Greece,Milk - Excluding Butter,2008,284.34
Lebanon,Vegetables,1998,284.17
Turkey,Consumer food price indice,2015,282.23
Uganda,Starchy Roots,1983,281.97
Switzerland,Milk - Excluding Butter,1968,281.66
Mozambique,Starchy Roots,1963,280.93
Mozambique,Starchy Roots,2003,280.47
Greece,Milk - Excluding Butter,2003,280.43
Democratic Republic of the Congo,Starchy Roots,1993,279.95
Poland,Milk - Excluding Butter,1978,279.72
Ireland,Milk - Excluding Butter,1998,279.71
Ghana,Consumer food price indice,2010,279.5
Uzbekistan,Vegetables,2013,279.31
Bahamas,Fruits - Excluding Wine,2013,278.89
Sweden,Milk - Excluding Butter,1968,278.84
Egypt,Consumer food price indice,2017,278.4
Sweden,Consumer food price indice,2012,277.91
Mozambique,Starchy Roots,1973,277.72
