Country,Item,Year,Unit,Value
Afghanistan,Food supply (kcal/capita/day),1963,kcal/capita/day,2698
Afghanistan,Food supply (kcal/capita/day),1968,kcal/capita/day,2918
Afghanistan,Food supply (kcal/capita/day),1973,kcal/capita/day,2721
Afghanistan,Food supply (kcal/capita/day),1978,kcal/capita/day,2621
Afghanistan,Food supply (kcal/capita/day),1983,kcal/capita/day,2524
Afghanistan,Food supply (kcal/capita/day),1988,kcal/capita/day,2518
Afghanistan,Food supply (kcal/capita/day),1993,kcal/capita/day,1910
Afghanistan,Food supply (kcal/capita/day),1998,kcal/capita/day,1903
Afghanistan,Food supply (kcal/capita/day),2003,kcal/capita/day,1892
Afghanistan,Food supply (kcal/capita/day),2008,kcal/capita/day,2041
Afghanistan,Food supply (kcal/capita/day),2013,kcal/capita/day,2090
Afghanistan,Protein supply quantity (g/capita/day),1963,g/capita/day,77.12
Afghanistan,Protein supply quantity (g/capita/day),1968,g/capita/day,84.1
Afghanistan,Protein supply quantity (g/capita/day),1973,g/capita/day,77.38
Afghanistan,Protein supply quantity (g/capita/day),1978,g/capita/day,74.66
Afghanistan,Protein supply quantity (g/capita/day),1983,g/capita/day,71.42
Afghanistan,Protein supply quantity (g/capita/day),1988,g/capita/day,70.43
Afghanistan,Protein supply quantity (g/capita/day),1993,g/capita/day,56.83
Afghanistan,Protein supply quantity (g/capita/day),1998,g/capita/day,57.78
Afghanistan,Protein supply quantity (g/capita/day),2003,g/capita/day,54.54
Afghanistan,Protein supply quantity (g/capita/day),2008,g/capita/day,56.96
Afghanistan,Protein supply quantity (g/capita/day),2013,g/capita/day,58.25
Afghanistan,Fat supply quantity (g/capita/day),1963,g/capita/day,38.57
Afghanistan,Fat supply quantity (g/capita/day),1968,g/capita/day,41.99
Afghanistan,Fat supply quantity (g/capita/day),1973,g/capita/day,37.2
Afghanistan,Fat supply quantity (g/capita/day),1978,g/capita/day,38.52
Afghanistan,Fat supply quantity (g/capita/day),1983,g/capita/day,46.25
Afghanistan,Fat supply quantity (g/capita/day),1988,g/capita/day,43.21
Afghanistan,Fat supply quantity (g/capita/day),1993,g/capita/day,33.08
Afghanistan,Fat supply quantity (g/capita/day),1998,g/capita/day,35.57
Afghanistan,Fat supply quantity (g/capita/day),2003,g/capita/day,29.99
Afghanistan,Fat supply quantity (g/capita/day),2008,g/capita/day,29.72
Afghanistan,Fat supply quantity (g/capita/day),2013,g/capita/day,33.52
Albania,Food supply (kcal/capita/day),1963,kcal/capita/day,2156
Albania,Food supply (kcal/capita/day),1968,kcal/capita/day,2343
Albania,Food supply (kcal/capita/day),1973,kcal/capita/day,2432
Albania,Food supply (kcal/capita/day),1978,kcal/capita/day,2689
Albania,Food supply (kcal/capita/day),1983,kcal/capita/day,2798
Albania,Food supply (kcal/capita/day),1988,kcal/capita/day,2594
Albania,Food supply (kcal/capita/day),1993,kcal/capita/day,2795
Albania,Food supply (kcal/capita/day),1998,kcal/capita/day,2725
