Country,Item,Year,Value
Afghanistan,Vegetables,1963,38.87
Afghanistan,Vegetables,1968,42.84
Afghanistan,Vegetables,1973,34.54
Afghanistan,Vegetables,1978,32.54
Afghanistan,Vegetables,1983,37.87
Afghanistan,Vegetables,1988,34.84
Afghanistan,Vegetables,1993,29.95
Afghanistan,Vegetables,1998,27.08
Afghanistan,Vegetables,2003,34.83
Afghanistan,Vegetables,2008,33.35
Afghanistan,Vegetables,2013,28.97
Albania,Vegetables,1963,83.37
Albania,Vegetables,1968,51.21
Albania,Vegetables,1973,75.28
Albania,Vegetables,1978,85.54
Albania,Vegetables,1983,89.94
Albania,Vegetables,1988,50.96
Albania,Vegetables,1993,147.69
Albania,Vegetables,1998,162.82
Albania,Vegetables,2003,185.21
Albania,Vegetables,2008,206.04
Albania,Vegetables,2013,245.09
Algeria,Vegetables,1963,30.96
Algeria,Vegetables,1968,28.24
Algeria,Vegetables,1973,33.58
Algeria,Vegetables,1978,35.12
Algeria,Vegetables,1983,45.71
Algeria,Vegetables,1988,69.81
Algeria,Vegetables,1993,79.12
Algeria,Vegetables,1998,78.76
Algeria,Vegetables,2003,97.86
Algeria,Vegetables,2008,103.76
Algeria,Vegetables,2013,165.7
Angola,Vegetables,1963,30.21
Angola,Vegetables,1968,30.25
Angola,Vegetables,1973,28.78
Angola,Vegetables,1978,28.06
Angola,Vegetables,1983,24.81
Angola,Vegetables,1988,23.13
Angola,Vegetables,1993,20.59
Angola,Vegetables,1998,19.37
Angola,Vegetables,2003,20.88
Angola,Vegetables,2008,48.68
Angola,Vegetables,2013,67.66
Argentina,Vegetables,1963,77.73
Argentina,Vegetables,1968,80.11
Argentina,Vegetables,1973,80.61
Argentina,Vegetables,1978,73.19
Argentina,Vegetables,1983,73.6
Argentina,Vegetables,1988,76.08
Argentina,Vegetables,1993,74.99
Argentina,Vegetables,1998,72.66
Argentina,Vegetables,2003,68.61
Argentina,Vegetables,2008,67.13
Argentina,Vegetables,2013,68.96
Armenia,Vegetables,1993,99.41
Armenia,Vegetables,1998,122.18
Armenia,Vegetables,2003,188.19
Armenia,Vegetables,2008,325.21
Armenia,Vegetables,2013,348.89
Australia,Vegetables,1963,60.05
Australia,Vegetables,1968,64.31
Australia,Vegetables,1973,62.34
Australia,Vegetables,1978,77.62
Australia,Vegetables,1983,73.46
Australia,Vegetables,1988,80.08
Australia,Vegetables,1993,78.92
Australia,Vegetables,1998,90.35
Australia,Vegetables,2003,90.8
Australia,Vegetables,2008,102.26
Australia,Vegetables,2013,102.83
Austria,Vegetables,1963,75.37
Austria,Vegetables,1968,71.73
Austria,Vegetables,1973,75.35
Austria,Vegetables,1978,79.78
Austria,Vegetables,1983,53.91
Austria,Vegetables,1988,66.92
Austria,Vegetables,1993,66.52
Austria,Vegetables,1998,73.73
